Image File,Caption
../data/validation/images/COCO_val2014_000000093852.jpg,a laptop computer sitting on a table next to a box of tissues
../data/validation/images/COCO_val2014_000000122987.jpg,a gife sitting down
../data/validation/images/COCO_val2014_000000572604.jpg,a red brick building
../data/validation/images/COCO_val2014_000000280918.jpg,two women in a kitchen cooking a turkey
../data/validation/images/COCO_val2014_000000251888.jpg,a boat in the water
../data/validation/images/COCO_val2014_000000467296.jpg,a hot dog with a variety of toppings
../data/validation/images/COCO_val2014_000000460927.jpg,a bear standing on a hill
../data/validation/images/COCO_val2014_000000008646.jpg,a truck driving down a road with a trailer on the back
../data/validation/images/COCO_val2014_000000242611.jpg,a bathroom with a sink and a mirror
../data/validation/images/COCO_val2014_000000283412.jpg,a white dog laying on a table next to a cup
../data/validation/images/COCO_val2014_000000106193.jpg,a bathroom with a sink and a mirror
../data/validation/images/COCO_val2014_000000278988.jpg,a table with plates of desserts and a cup of coffee
../data/validation/images/COCO_val2014_000000247369.jpg,a view of a busy highway with many cars
../data/validation/images/COCO_val2014_000000553588.jpg,a tall building with a clock on the top
../data/validation/images/COCO_val2014_000000229688.jpg,two women sitting at a table
../data/validation/images/COCO_val2014_000000453509.jpg,a bunch of oranges
../data/validation/images/COCO_val2014_000000565479.jpg,a woman in a wet suit
../data/validation/images/COCO_val2014_000000145542.jpg,the water is blue
../data/validation/images/COCO_val2014_000000441472.jpg,a man on a snowboard
../data/validation/images/COCO_val2014_000000288890.jpg,a crowd of people are gathered in a crowded area
../data/validation/images/COCO_val2014_000000012085.jpg,a man sleeping in bed with two cats
../data/validation/images/COCO_val2014_000000209782.jpg,a man sitting on a bench
../data/validation/images/COCO_val2014_000000299481.jpg,a person on skis going down a snowy slope
../data/validation/images/COCO_val2014_000000166948.jpg,a man and woman playing a video game
../data/validation/images/COCO_val2014_000000128791.jpg,a bird perched on a branch of a tree
../data/validation/images/COCO_val2014_000000528866.jpg,a table with a variety of vegetables and a knife
../data/validation/images/COCO_val2014_000000210976.jpg,a fence with a fire hydra on it
../data/validation/images/COCO_val2014_000000520109.jpg,a field of green grass
../data/validation/images/COCO_val2014_000000286327.jpg,a white fence
../data/validation/images/COCO_val2014_000000203128.jpg,a bed with a bunch of luggage on it
../data/validation/images/COCO_val2014_000000384823.jpg,a desk with a computer and a monitor
../data/validation/images/COCO_val2014_000000442305.jpg,a man and woman standing in a room
../data/validation/images/COCO_val2014_000000209048.jpg,a white microwave oven
../data/validation/images/COCO_val2014_000000187132.jpg,a bunch of bananas
../data/validation/images/COCO_val2014_000000466635.jpg,a cow standing in a field
../data/validation/images/COCO_val2014_000000298762.jpg,a man riding a horse down a street
../data/validation/images/COCO_val2014_000000196706.jpg,the horse is white
../data/validation/images/COCO_val2014_000000568281.jpg,a living room with a television and a chair
../data/validation/images/COCO_val2014_000000447758.jpg,a traffic light on a pole
../data/validation/images/COCO_val2014_000000099875.jpg,two children playing with a toy
../data/validation/images/COCO_val2014_000000421307.jpg,a group of kites flying in the sky
../data/validation/images/COCO_val2014_000000461953.jpg,a hot dog on a paper plate
../data/validation/images/COCO_val2014_000000406053.jpg,a mirror on a pole
../data/validation/images/COCO_val2014_000000432273.jpg,a street with cars and a traffic light
../data/validation/images/COCO_val2014_000000297372.jpg,a dog is standing next to a bicycle
../data/validation/images/COCO_val2014_000000033652.jpg,a pizza on a pan
../data/validation/images/COCO_val2014_000000313034.jpg,a man and woman are standing in a kitchen
../data/validation/images/COCO_val2014_000000315601.jpg,a busy street filled with cars and motorcycles
../data/validation/images/COCO_val2014_000000370591.jpg,a group of men in uniform cutting a cake
../data/validation/images/COCO_val2014_000000437126.jpg,a cat sitting in a car
../data/validation/images/COCO_val2014_000000203460.jpg,a bear sitting on a log
../data/validation/images/COCO_val2014_000000180888.jpg,a boat on the beach
../data/validation/images/COCO_val2014_000000326517.jpg,a plane parked on the tar
../data/validation/images/COCO_val2014_000000473915.jpg,a plate of food on a table with a fork
../data/validation/images/COCO_val2014_000000164830.jpg,a parking meter with a picture of a man and a dog on it
../data/validation/images/COCO_val2014_000000461378.jpg,a cake with candles and flowers on it
../data/validation/images/COCO_val2014_000000141634.jpg,a woman standing next to a horse
../data/validation/images/COCO_val2014_000000291541.jpg,a cat laying on a bed with a pillow
../data/validation/images/COCO_val2014_000000368268.jpg,two ski boards on the ground
../data/validation/images/COCO_val2014_000000544639.jpg,a zebra standing on a rocky area
../data/validation/images/COCO_val2014_000000200252.jpg,a bed with a white and blue checkered blanket
../data/validation/images/COCO_val2014_000000412757.jpg,a green bus
../data/validation/images/COCO_val2014_000000281111.jpg,a man standing in front of a brick oven
../data/validation/images/COCO_val2014_000000370266.jpg,a white fence
../data/validation/images/COCO_val2014_000000521348.jpg,a dog looking up at a cup of coffee
../data/validation/images/COCO_val2014_000000197125.jpg,a desk with a computer and a laptop
../data/validation/images/COCO_val2014_000000345434.jpg,a dog sitting on the grass next to a tree
../data/validation/images/COCO_val2014_000000420002.jpg,a group of girls playing soccer
../data/validation/images/COCO_val2014_000000486964.jpg,two zebras in the wild
../data/validation/images/COCO_val2014_000000559547.jpg,two men in uniform
../data/validation/images/COCO_val2014_000000153632.jpg,a plate of food on a table with a knife and a bowl of food
../data/validation/images/COCO_val2014_000000257136.jpg,a group of people on a ski slope
../data/validation/images/COCO_val2014_000000283097.jpg,a man pushing a blue suitcase
../data/validation/images/COCO_val2014_000000034474.jpg,a bathroom with wooden walls and a sink
../data/validation/images/COCO_val2014_000000430469.jpg,a plate of food with a spoon on a table
../data/validation/images/COCO_val2014_000000146813.jpg,a bed with a white comforter and pillows
../data/validation/images/COCO_val2014_000000208028.jpg,a person typing on a computer keyboard
../data/validation/images/COCO_val2014_000000484331.jpg,a young boy holding a baseball bat on a baseball field
../data/validation/images/COCO_val2014_000000117508.jpg,a person on a snowboard in the snow
../data/validation/images/COCO_val2014_000000430245.jpg,a man on a motorcycle
../data/validation/images/COCO_val2014_000000401244.jpg,a man in a purple shirt
../data/validation/images/COCO_val2014_000000359436.jpg,a person flying a kite on a beach
../data/validation/images/COCO_val2014_000000512667.jpg,a woman in a kitchen
../data/validation/images/COCO_val2014_000000581183.jpg,elephants standing on stools
../data/validation/images/COCO_val2014_000000197444.jpg,a white plate with food
../data/validation/images/COCO_val2014_000000480105.jpg,a group of zebras
../data/validation/images/COCO_val2014_000000379767.jpg,a plate of food
../data/validation/images/COCO_val2014_000000122606.jpg,a bus on the road
../data/validation/images/COCO_val2014_000000344094.jpg,a cat laying on a table next to a vase with a plant
../data/validation/images/COCO_val2014_000000185901.jpg,a clear bowl of lemons
../data/validation/images/COCO_val2014_000000568717.jpg,a kitchen with a sink and a stove
../data/validation/images/COCO_val2014_000000456908.jpg,a tray of food
../data/validation/images/COCO_val2014_000000220732.jpg,a bus parked in a parking
../data/validation/images/COCO_val2014_000000416345.jpg,a cat sitting on a chair in a room
../data/validation/images/COCO_val2014_000000010014.jpg,a bus on the street
../data/validation/images/COCO_val2014_000000297220.jpg,a woman holding a banana
../data/validation/images/COCO_val2014_000000083235.jpg,a large commercial jet taking off from an airport runway
../data/validation/images/COCO_val2014_000000041773.jpg,a sign on a road
../data/validation/images/COCO_val2014_000000313228.jpg,a young boy sitting at a table eating food
../data/validation/images/COCO_val2014_000000278401.jpg,a street with a sign and a traffic cone
